2017 9   5   4   53  6.768     73.128    147.400   1.90      MTISV6I   
2017 9   5   5   4   6.808     73.141    148.000   2.50      QTJJ1R9   
2017 9   5   5   12  2.474     75.516    8.600     1.30      IRPL8UH   
2017 9   5   5   31  3.708     75.597    2.700     1.60      T1HD3E1   
2017 9   5   5   50  6.711     73.161    146.000   1.10      19XKR0N   
2017 9   5   5   54  8.703     73.205    128.000   2.00      SOYMVP7   
2017 9   5   6   4   6.955     73.502    107.800   1.10      3O2QGDD   
2017 9   5   6   30  6.307     74.360    17.600    0.80      T1513DP   
2017 9   5   6   35  6.788     73.167    149.100   1.30      K3J2G70   
2017 9   5   6   41  6.782     73.139    144.000   1.70      YTSQ67N   
2017 9   5   6   55  6.745     73.119    143.600   1.30      OAUAZ3L   
2017 9   5   7   6   6.794     73.146    144.000   1.80      929AHGK   
2017 9   5   7   41  6.800     73.096    147.800   1.50      0BWCWLX   
2017 9   5   8   9   6.768     73.121    151.600   1.50      QP6K6YJ   
2017 9   5   8   29  10.140    72.626    0.000     2.20      PZ71EKF   
2017 9   5   8   32  6.802     73.141    146.500   1.20      A9G9Y4V   
2017 9   5   8   37  1.180     77.420    19.300    3.20      7G2ZAF4   
2017 9   5   9   16  4.782     74.679    4.300     1.20      558XFJT   
2017 9   5   9   41  4.736     76.159    93.700    2.30      13F0TDW   
2017 9   5   10  14  6.562     73.475    155.900   1.20      32M5MCE   
2017 9   5   10  21  6.897     73.017    170.100   1.10      3DJSP8T   
2017 9   5   11  37  2.976     77.943    8.900     2.30      C4GZ0XP   
2017 9   5   11  38  6.440     75.118    4.000     1.50      5E4G53M   
2017 9   5   11  55  7.479     73.128    137.700   2.10      HS36KGP   
2017 9   5   12  22  6.742     73.065    137.400   0.90      WXVP6HA   
2017 9   5   12  33  6.776     73.102    139.700   1.10      FPDKUR4   
2017 9   5   13  11  2.545     75.401    24.500    1.90      YDI9B9Z   
2017 9   5   13  58  6.842     73.177    144.300   1.50      B5TLW0P   
2017 9   5   14  8   6.777     73.106    143.800   2.10      7OJIF5N   
2017 9   5   15  10  7.245     73.378    111.700   1.50      CSYEJWT   
2017 9   5   15  23  6.828     73.296    119.000   2.10      Y39IPYS   
2017 9   5   16  28  7.180     76.864    24.200    1.40      ASD71AX   
2017 9   5   16  34  2.892     77.999    18.100    2.00      GGZ7ZCR   
2017 9   5   17  52  5.907     74.875    4.000     1.20      PXM1ET8   
2017 9   5   18  2   6.758     73.121    142.400   1.20      J78V6NT   
2017 9   5   18  5   4.774     76.205    101.100   2.00      034RPVB   
2017 9   5   18  29  3.392     76.567    58.200    1.80      DXSU2UI   
2017 9   5   18  31  5.074     72.969    0.000     1.90      577B403   
2017 9   5   19  20  6.788     73.144    140.800   1.80      KGNB66U   
2017 9   5   20  29  6.771     73.133    144.000   1.80      8UHFTFA   
2017 9   5   20  55  6.779     73.113    144.000   1.70      XXDUAUC   
2017 9   5   21  4   3.533     76.125    4.000     1.30      78G0KE2   
2017 9   5   21  57  6.276     74.681    0.000     1.40      CN2BJ5I   
2017 9   5   22  2   3.855     71.445    0.000     2.30      PX6FSPO   
2017 9   5   22  2   3.855     71.445    0.000     2.30      TBOTXAN   
2017 9   5   22  22  6.308     74.009    0.000     1.20      S1NJ2TH   
2017 9   5   22  59  8.417     73.293    118.300   2.00      QV89R05   
2017 9   5   23  1   5.980     72.627    4.000     1.40      NPIFKZD   
2017 9   5   23  30  3.418     76.411    69.500    1.10      LA1PFE9   
2017 9   5   23  44  6.809     73.105    143.400   1.70      2JFBA56   
2017 9   6   0   23  2.078     77.218    115.200   1.50      R689KKK   
2017 9   6   1   2   8.438     74.177    74.000    1.70      XY6M8P0   
2017 9   6   1   15  5.246     73.739    147.300   2.00      GF1NNRP   
2017 9   6   1   46  6.765     73.387    113.200   1.60      JBX3592   
2017 9   6   2   42  6.670     74.798    7.500     1.00      U6ESBQG   
2017 9   6   2   46  2.825     79.465    12.800    2.30      TNQTNBU   
2017 9   6   2   46  6.760     73.108    138.100   1.90      WG6K4K3   
2017 9   6   2   51  6.712     73.191    142.700   1.30      1HNE5PV   
2017 9   6   3   18  6.835     73.150    148.100   2.90      JWZG4FQ   
2017 9   6   5   18  7.663     74.166    11.600    1.40      DCXJQZ4   
2017 9   6   5   51  6.767     73.120    142.100   2.00      RCGTIC9   
2017 9   6   6   13  6.531     73.527    107.100   1.80      QRZ2TOU   
2017 9   6   6   36  2.663     74.339    4.000     1.30      UPRI660   
2017 9   6   7   55  6.750     73.155    151.400   1.20      GY9GN2N   
2017 9   6   8   2   2.492     75.486    10.000    1.30      E8XK2B0   
2017 9   6   10  9   6.860     72.998    126.000   1.20      L309MJ5   
2017 9   6   10  13  2.916     74.804    4.300     1.40      LWL8Y0R   
2017 9   6   11  18  5.902     74.402    1.000     1.50      4WZQT3R   
2017 9   6   11  58  6.713     73.136    139.000   1.50      3OPOL4X   
2017 9   6   13  28  3.542     76.269    130.500   1.60      36XJONV   
2017 9   6   14  23  6.744     73.110    142.400   1.40      R9M05FP   
2017 9   6   15  8   6.785     73.085    151.800   1.50      HV2A204   
2017 9   6   16  37  6.791     73.156    147.100   1.80      8OST9CG   
2017 9   6   18  44  6.831     73.140    144.100   3.50      PJX04VB   
2017 9   6   19  52  6.794     73.105    138.000   1.80      3KD7BED   
2017 9   6   20  11  5.079     74.625    29.700    0.90      IIJ4W2N   
2017 9   6   20  46  9.879     75.346    30.900    2.50      TN3FWF0   
2017 9   6   22  19  6.789     73.082    132.000   1.20      YY0BBA8   
2017 9   6   22  20  6.765     73.042    148.200   1.60      QN2440Y   
2017 9   6   22  39  6.838     73.155    151.000   2.90      MIQHEBQ   
2017 9   6   23  24  6.775     73.163    140.000   1.20      T6KU85O   
2017 9   6   23  29  6.793     73.132    147.500   1.60      DEINERJ   
