;;;;;;;Parametros de la Consulta;;;;;;;;
;;;;;;Fecha_Incial;01/06/1993;;;;;;;;
;;;;;;Fecha_Final;06/05/2014;;;;;;;;
;;;;;;Departamento;CALDAS;;;;;;;;
;;;;;;Municipio;;;;;;;;;
;;;;;;Total_Registros;467;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;Red Sismologica Nacional;;;;;;;;
;;;;;;;de Colombia;;;;;;;;
;;;;;;;;;;;;;;;
Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitud;Magnitud;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
13/01/1996;04:27:50;4.923;-75.45;4;1.6;;CALDAS;VILLAMARIA;6;0.60;194;3.8;10.4;11.6;Revisado
24/01/1996;00:32:37;5.503;-74.789;16.6;2.3;;CALDAS;LA_DORADA;4;0.60;164;22.4;18.2;47;Revisado
14/02/1996;02:54:07;4.992;-75.89;26.1;2.4;;CALDAS;VITERBO;8;0.70;139;5;6.7;7.9;Revisado
10/03/1996;07:36:05;5.047;-75.719;40;1.6;;CALDAS;PALESTINA;3;0.10;220;2.2;5.6;15.9;Revisado
17/05/1996;03:56:20;5.561;-74.751;8.4;2.1;;CALDAS;LA_DORADA;6;0.70;131;5.3;5.7;10.3;Revisado
19/05/1996;08:16:08;5.569;-74.767;11;2.1;;CALDAS;LA_DORADA;6;0.60;134;4.6;4.8;7.6;Revisado
30/05/1996;01:23:01;4.562;-75.161;32;2.4;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;4;0.30;115;2.9;7.8;11.3;Revisado
07/06/1996;12:10:38;5.398;-74.855;12;2.4;;CALDAS;VICTORIA;4;0.10;138;4.2;6.6;8.3;Revisado
10/06/1996;21:33:33;5.421;-75.616;0;2;;CALDAS;SUPIA;4;1.40;279;62.2;87.6;76.8;Revisado
24/07/1996;04:12:57;5.628;-74.873;10;2.5;;CALDAS;SAMANA;4;0.40;129;4.1;5.1;4.9;Revisado
