Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitudl;Magnitudw;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
10/09/1998;18:48:00;5.805;-75.586;0;3;;ANTIOQUIA;SANTA_BARBARA;7;0.9;166;7.4;17.9;37.2;Revisado
12/09/1998;4:10:25;5.68;-76.078;0;2.6;;ANTIOQUIA;BETANIA;9;1.5;108;9.2;8.1;30.7;Revisado
15/09/1998;20:43:56;6.646;-76.637;0;4;;ANTIOQUIA;VIGIA_DEL_FUERTE;7;0.9;241;16.4;20.6;34.3;Revisado
19/09/1998;5:12:37;6.597;-76.839;0;4.2;;ANTIOQUIA;VIGIA_DEL_FUERTE;9;0.9;180;19.7;7.3;25.2;Revisado
19/09/1998;6:15:31;6.657;-76.853;0;4.9;;ANTIOQUIA;VIGIA_DEL_FUERTE;11;1;182;22.3;8.6;32.9;Revisado
19/09/1998;6:51:18;6.715;-76.847;0;4;;ANTIOQUIA;VIGIA_DEL_FUERTE;11;1;187;17.7;6.9;39.5;Revisado
24/09/1998;20:08:57;6.784;-77.137;40;3.2;;ANTIOQUIA;VIGIA_DEL_FUERTE;5;1.2;233;17.5;4.2;15.3;Revisado
29/09/1998;2:34:03;7.986;-74.559;135.6;2.4;;ANTIOQUIA;NECHI;4;0.6;285;33.1;9.2;43.6;Revisado
07/10/1998;9:36:16;7.439;-76.163;0;3.3;;ANTIOQUIA;MUTATA;6;0.8;231;17.6;9.1;33.5;Revisado
15/10/1998;9:05:21;7.471;-75.114;0;2.4;;ANTIOQUIA;ZARAGOZA;5;0.7;274;87.2;56.2;68.9;Revisado
18/10/1998;20:35:11;7.147;-74.879;0;2.3;;ANTIOQUIA;SEGOVIA;5;0.4;250;20.9;9.3;13;Revisado
23/10/1998;21:28:17;7.01;-74.435;29.6;2.9;;ANTIOQUIA;REMEDIOS;5;0.5;231;21.2;5.5;30.4;Revisado
25/10/1998;7:12:50;7.049;-76.308;2.6;2.7;;ANTIOQUIA;DABEIBA;4;0.3;299;10.1;17.7;17;Revisado
27/10/1998;1:36:58;6.902;-76.687;0;3.1;;ANTIOQUIA;MURINDO;6;0.9;219;45.9;12.7;51;Revisado
27/10/1998;13:31:51;7.022;-74.685;4.1;2.4;;ANTIOQUIA;REMEDIOS;5;0.6;236;26.2;10.7;19.5;Revisado
28/10/1998;7:54:24;6.977;-76.652;7.6;3.1;;ANTIOQUIA;MURINDO;8;0.9;196;20.2;9.3;20.5;Revisado
10/11/1998;17:49:07;8.091;-75.23;1.2;3.8;;ANTIOQUIA;CAUCASIA;4;0.7;253;35.6;12.8;31.6;Revisado
12/11/1998;3:24:52;7.093;-76.613;34.4;3.1;;ANTIOQUIA;MURINDO;7;0.6;228;22.8;17.6;81.9;Revisado
16/11/1998;23:14:02;7.723;-76.412;7.6;3.8;;ANTIOQUIA;CAREPA;7;0.5;251;27.3;8.9;22.6;Revisado
20/11/1998;4:09:22;7.063;-76.072;2.6;3.4;;ANTIOQUIA;URAMITA;7;0.4;183;7.8;3.4;6.9;Revisado
21/11/1998;0:19:36;6.496;-75.192;6;2.8;;ANTIOQUIA;SANTO_DOMINGO;5;0.4;140;4.3;3.7;13.9;Revisado
24/11/1998;2:24:38;6.522;-74.558;6;2.4;;ANTIOQUIA;PUERTO_BERRIO;5;0.6;142;6.5;5.7;11.4;Revisado
24/11/1998;3:33:39;6.611;-74.537;40.7;2.1;;ANTIOQUIA;PUERTO_BERRIO;4;0.7;131;14.2;24.8;99.9;Revisado
02/12/1998;12:04:13;7.793;-75.114;22.9;2.7;;ANTIOQUIA;CAUCASIA;3;1;151;6.4;6.2;9.4;Revisado
02/12/1998;13:24:07;7.847;-74.603;64.1;3.1;;ANTIOQUIA;EL_BAGRE;2;0;286;5.5;17.6;20.8;Revisado
03/12/1998;7:37:37;7.3;-76.757;19.1;3;;ANTIOQUIA;MUTATA;6;0.9;214;14.3;8.2;56.8;Revisado
06/12/1998;11:20:16;6.827;-74.556;4;3.1;;ANTIOQUIA;VEGACHI;5;0.8;162;10.7;6.9;18;Revisado
06/12/1998;18:33:38;6.428;-74.483;32.1;3.5;;ANTIOQUIA;PUERTO_BERRIO;5;0.2;133;3.2;2.1;10.2;Revisado
12/12/1998;9:32:56;6.602;-74.566;4;2.1;;ANTIOQUIA;PUERTO_BERRIO;5;0.6;148;11.8;5.1;13.9;Revisado
15/12/1998;8:26:05;7.048;-73.714;62.6;2.3;;ANTIOQUIA;YONDO;3;0.1;132;2.8;4.2;14.3;Revisado
17/12/1998;13:38:37;5.741;-75.967;21.6;1.8;;ANTIOQUIA;BETANIA;4;0.3;142;11.9;8.7;23.3;Revisado
25/12/1998;4:16:38;5.779;-74.733;31.9;3.2;;ANTIOQUIA;PUERTO_TRIUNFO;8;0.8;91;4.9;5.1;28.1;Revisado
25/12/1998;6:39:42;7.569;-75.224;16.3;2.2;;ANTIOQUIA;CACERES;3;0.2;237;6.7;6.9;12.3;Revisado
31/12/1998;19:48:05;5.67;-76.164;92.1;3.7;;ANTIOQUIA;BETANIA;11;1.1;109;8.6;8;22;Revisado
